date,tweet_id,text,year,contains_word,text_preprocessed,length
2015-08-21 03:12:30+00:00,6.35e+17,"when boys be like ""aw I made you blush"" 
And you're just like...no actually, this is Orgasm by Nars...",2015,False,"when boys be like ""aw I made you ""  And you're just like...no actually, this is Orgasm by ...",19
2015-08-21 02:34:11+00:00,6.35e+17,"@NARS_makeup Nars blush in Orgasm,one of my all time favorite",2015,False,"in Orgasm,one of my all time favorite",7
2015-08-20 22:03:39+00:00,6.34e+17,I got this amazing nars highlighting blush yesterday but I'm sleeping so not today nars not today.,2015,False,I got this amazing  highlighting  yesterday but I'm sleeping so not today  not today.,14
2015-08-20 17:37:14+00:00,6.34e+17,@boodenay yea uGH I want a nars blush but same prob 😓😓😓,2015,False,yea uGH I want a   but same prob 😓😓😓,9
2015-08-19 23:18:57+00:00,6.34e+17,My NARS blush def just fell and broke into a billion pieces 😓boy today is not the day,2015,False,My   def just fell and broke into a billion pieces 😓boy today is not the day,16
2015-08-19 21:44:39+00:00,6.34e+17,I'm hoping Nars releases a holiday blush palette 😶😶,2015,False,I'm hoping  releases a holiday  palette 😶😶,7
2015-08-19 20:21:15+00:00,6.34e+17,NARS Orgasm or Estee Lauder Poppy Passion? #makeup #blush,2015,False,Orgasm or Estee Lauder Poppy Passion? makeup,7
2015-08-19 17:49:35+00:00,6.34e+17,"@DDUBsSexXyDevil @kayaregee888 I have Nars Orgasm lip gloss in travel size and I have the blush in powder form, but my under active thyroid",2015,False,"I have  Orgasm lip gloss in travel size and I have the  in powder form, but my under active thyroid",20
2015-08-19 17:40:35+00:00,6.34e+17,"@kayaregee888 @DDUBsSexXyDevil And 2 of 4 things I got, Better than Sex mascara by Too faced&amp;Nars The multiple (Orgasm) for eyes,lips,blush😂",2015,False,"And  of  things I got, Better than Sex mascara by Too faced& The multiple (Orgasm) for eyes,lips,😂",17
2015-08-19 14:16:05+00:00,6.34e+17,"The blush ""Sin"" by @NARS_makeup is perfection! ✨",2015,False,"The  ""Sin"" by  is perfection! ✨",6
2015-08-19 04:27:00+00:00,6.34e+17,"Why would they name a NARS blush ""deep throat"" lmao I will never understand.",2015,False,"Why would they name a   ""deep throat"" lmao I will never understand.",12
2015-08-19 04:22:34+00:00,6.34e+17,"God bless Janelle Judilla for giving me a new skirt, MAC eyeshadow, NARS blush, and Aerie perfume 👌🏻",2015,False,"God bless Janelle Judilla for giving me a new skirt, MAC eyeshadow,  , and Aerie perfume 👌🏻",17
2015-08-18 08:54:28+00:00,6.34e+17,"@ekinidris thank you so much ❤️ i used a blush from NARS called Unlawful, there's a tutorial in my channel, link in bio hehe 🌸",2015,False,"thank you so much ❤️ i used a  from  called Unlawful, there's a tutorial in my channel, link in bio hehe 🌸",22
2015-08-16 19:33:45+00:00,6.33e+17,Should i pay above retail for the holiday nars cheek palette or just get a blush and bronzer separately instead.. Hmm..,2015,False,Should i pay above retail for the holiday  cheek palette or just get a  and bronzer separately instead.. Hmm..,19
2015-08-16 17:12:49+00:00,6.33e+17,"Guys, @kikocosmeticsUK has the most beautiful cream blush sticks of the high street. They look like Nars multiples (and for much cheaper!)",2015,False,"Guys,  has the most beautiful cream  sticks of the high street. They look like  multiples (and for much cheaper!)",19
2015-08-16 05:35:21+00:00,6.33e+17,Like yo I heard you like the orgasm blush from nars that's $45 guess what wet n wild makes an almost exact dupe for $5 you're welcome.,2015,False,Like yo I heard you like the orgasm  from  that's $ guess what wet n wild makes an almost exact dupe for $ you're welcome.,25
2015-08-16 01:24:22+00:00,6.33e+17,@leahxo_yt so I went for lots of the lippies as I love them....the beyond blush is stunning. Like nars orgasm...,2015,False,so I went for lots of the lippies as I love them....the beyond  is stunning. Like  orgasm...,17
2015-08-15 23:15:41+00:00,6.33e+17,"picked up kat von d's lock it foundation today &amp; a new nars blush, excited to try em out 👌🏻",2015,False,"picked up kat von d's lock it foundation today & a new  , excited to try em out 👌🏻",19
2015-08-15 12:50:20+00:00,6.33e+17,@DribblinGiraffe @tatsx I already have a NARs blush/bronzer duo so one would be the same shaaaade,2015,False,I already have a NARs /bronzer duo so one would be the same shaaaade,14
2015-08-14 17:43:09+00:00,6.32e+17,Seduction by Nars is srsly my all time favorite blush 💖💖💖💖,2015,False,Seduction by  is srsly my all time favorite  💖💖💖💖,9
2015-08-14 04:19:30+00:00,6.32e+17,Orders nars orgasm blush *** 👀👀,2015,False,Orders  orgasm  *** 👀👀,4
2015-08-14 00:20:07+00:00,6.32e+17,"all i want is a Nars Blush in the shade, ""Orgasm.""",2015,False,"all i want is a  Blush in the shade, ""Orgasm.""",10
2015-08-13 20:00:35+00:00,6.32e+17,"@miiich_ ugh. Ok. NARS ""tribulation"" blush! it's on my list. That and Kat Von D ""damned"" lip stain.",2015,False,"ugh. Ok.  ""tribulation"" ! it's on my list. That and Kat Von D ""damned"" lip stain.",16
2015-08-13 16:42:14+00:00,6.32e+17,"@thejanicexxx Nars ""Orgasm"" blush looks good on basically anyone... like its namesake",2015,False,"""Orgasm""  looks good on basically anyone... like its namesake",9
2015-08-12 19:29:34+00:00,6.32e+17,trying to decide between mac and nars blush is too hard i'm just taking both with me,2015,False,trying to decide between mac and   is too hard i'm just taking both with me,15
2015-08-12 02:20:25+00:00,6.31e+17,@fifthstarter @brittalih I've always used the same Nars blush too. I have to be careful otherwise it pops too much but I luv it.,2015,False,I've always used the same   too. I have to be careful otherwise it pops too much but I luv it.,20
